name,votes,share %,state
"Britt, Katie",942154,66.62,Alabama
"Boyd, Will",436746,30.88,Alabama
"Murkowski, Lisa",113495,43.37,Alaska
"Tshibaka, Kelly",111480,42.6,Alaska
"Chesbro, Patricia",27145,10.37,Alaska
"Kelly, Mark",1322027,51.39,Arizona
"Masters, Blake",1196308,46.51,Arizona
"Victor, Marc",53762,2.09,Arizona
"Boozman, John",592437,65.73,Arkansas
"James, Natalie",280187,31.09,Arkansas
"Padilla, Alex",6621621,61.06,California
"Meuser, Mark",4222029,38.94,California
"Bennet, Michael",1397170,55.88,Colorado
"O'Dea, Joe",1031693,41.26,Colorado
"Blumenthal, Dick",723864,57.45,Connecticut
"Levy, Leora",535943,42.54,Connecticut
"Rubio, Marco",4474847,57.68,Florida
"Demings, Val",3201522,41.27,Florida
"Warnock, Raphael",1946117,49.44,Georgia
"Walker, Herschel",1908442,48.49,Georgia
"Oliver, Chase",81365,2.07,Georgia
"Schatz, Brian",290894,71.21,Hawaii
"Bonoan, Feena",4915,1.2,Hawaii
"Crapo, Mike",358539,60.68,Idaho
"Roth, David",169808,28.74,Idaho
"Cleveland, Scott",49917,8.45,Idaho
"Duckworth, Tammy",2329136,56.82,Illinois
"Salvi, Kathy",1701055,41.5,Illinois
"Redpath, William",68671,1.68,Illinois
"Young, Todd",1090390,58.62,Indiana
"McDermott, Tom",704480,37.87,Indiana
"Sceniak, James",63823,3.43,Indiana
"Grassley, Chuck",681501,56.01,Iowa
"Franken, Michael",533330,43.84,Iowa
"Moran, Jerry",602976,60,Kansas
"Holland, Mark",372214,37.04,Kansas
"Paul, Rand",913326,61.8,Kentucky
"Booker, Charles",564311,38.19,Kentucky
"Kennedy, John Neely",851568,61.56,Louisiana
"Chambers, Gary",246933,17.85,Louisiana
"Mixon, Luke",182887,13.22,Louisiana
"Steib, Syrita",31568,2.28,Louisiana
"Van Hollen, Chris",1316897,65.77,Maryland
"Schmitt, Eric",1146966,55.43,Missouri
"Valentine, Trudy Busch",872694,42.18,Missouri
"Cortez Masto, Catherine",498316,48.81,Nevada
"Laxalt, Adam",490388,48.04,Nevada
"Hassan, Maggie",332490,53.54,New Hampshire
"Bolduc, Don",275631,44.39,New Hampshire
"Kauffman, Jeremy",12390,2,New Hampshire
"Schumer, Chuck",3320561,56.74,New York
"Pinion, Joseph",2501151,42.73,New York
"Budd, Ted",1905786,50.5,North Carolina
"Beasley, Cheri",1784049,47.27,North Carolina
"Hoeven, John",135474,56.41,North Dakota
"Christiansen, Katrina",59995,24.98,North Dakota
"Becker, Rick",44406,18.49,North Dakota
"Vance, JD",2192114,53.03,Ohio
"Ryan, Tim",1939489,46.92,Ohio
"Lankford, James",739960,64.3,Oklahoma (Full Term)
"Horn, Madison",369370,32.1,Oklahoma (Full Term)
"Mullin, Markwayne",710643,61.77,Oklahoma (Unexpired Term)
"Horn, Kendra",405389,35.24,Oklahoma (Unexpired Term)
"Wyden, Ron",1076424,55.83,Oregon
"Perkins, Jo Rae",788991,40.92,Oregon
"Fetterman, John",2751012,51.17,Pennsylvania
"Oz, Mehmet",2487260,46.27,Pennsylvania
"Scott, Tim",1066274,62.88,South Carolina
"Matthews, Krystle",627616,37.01,South Carolina
"Thune, John",242316,69.63,South Dakota
"Bengs, Brian",91007,26.15,South Dakota
"Lee, Mike",571974,53.15,Utah
"McMullin, Evan",459958,42.74,Utah
"Welch, Peter",196575,68.47,Vermont
"Malloy, Gerald",80468,28.03,Vermont
"Murray, Patty",1741827,57.15,Washington
"Smiley, Tiffany",1299322,42.63,Washington
"Johnson, Ron",1337185,50.41,Wisconsin
"Barnes, Mandela",1310467,49.41,Wisconsin
